Particles,Processes,AvgTime,TotalTime
1000,4,0.000995,0.009952
2000,4,0.007342,0.073423
3000,4,0.008634,0.086341
4000,4,0.015330,0.153304
5000,4,0.024020,0.240203
6000,4,0.034448,0.344476
7000,4,0.046848,0.468480
8000,4,0.061220,0.612195
9000,4,0.077477,0.774771
10000,4,0.095637,0.956372
20000,4,0.385645,3.856453
30000,4,0.876720,8.767199
40000,4,1.543335,15.433351
50000,4,2.406172,24.061724
60000,4,3.466126,34.661260
70000,4,4.718524,47.185236
80000,4,6.150014,61.500141
90000,4,7.801006,78.010059
100000,4,9.637078,96.370778
1000,8,0.000509,0.005095
2000,8,0.001963,0.019625
3000,8,0.006412,0.064117
4000,8,0.007717,0.077169
5000,8,0.012012,0.120117
6000,8,0.017320,0.173198
7000,8,0.025521,0.255209
8000,8,0.030691,0.306906
9000,8,0.038881,0.388807
10000,8,0.048009,0.480089
20000,8,0.192850,1.928504
30000,8,0.438776,4.387755
40000,8,0.773033,7.730327
50000,8,1.204688,12.046878
60000,8,1.734918,17.349175
70000,8,2.365158,23.651584
80000,8,3.109761,31.097611
90000,8,4.046700,40.466997
100000,8,5.144413,51.444127
1000,16,0.000494,0.004936
2000,16,0.001958,0.019575
3000,16,0.004395,0.043947
4000,16,0.007447,0.074472
5000,16,0.011628,0.116283
6000,16,0.015349,0.153485
7000,16,0.021320,0.213203
8000,16,0.020305,0.203047
9000,16,0.022981,0.229811
10000,16,0.027172,0.271718
20000,16,0.096473,0.964726
30000,16,0.221614,2.216136
40000,16,0.387273,3.872731
50000,16,0.607342,6.073420
60000,16,0.917956,9.179560
70000,16,1.396360,13.963599
80000,16,2.100318,21.003178
90000,16,2.852056,28.520560
100000,16,3.737469,37.374691
1000,32,0.000486,0.004864
2000,32,0.001224,0.012236
3000,32,0.002654,0.026542
4000,32,0.003852,0.038522
5000,32,0.008570,0.085703
6000,32,0.009037,0.090369
7000,32,0.012424,0.124241
8000,32,0.014997,0.149971
9000,32,0.019245,0.192451
10000,32,0.028579,0.285791
20000,32,0.093029,0.930293
30000,32,0.213368,2.133677
40000,32,0.431589,4.315887
50000,32,0.737005,7.370053
60000,32,1.140983,11.409829
70000,32,1.622299,16.222990
80000,32,2.202312,22.023124
90000,32,2.850271,28.502706
100000,32,3.592820,35.928199
