Particles,Threads,AvgTime,TotalTime
1000,4,0.007734,0.077339
2000,4,0.010987,0.109872
3000,4,0.016384,0.163840
4000,4,0.023411,0.234105
5000,4,0.033319,0.333186
6000,4,0.044835,0.448354
7000,4,0.057653,0.576529
8000,4,0.073172,0.731723
9000,4,0.090929,0.909289
10000,4,0.110384,1.103836
20000,4,0.424850,4.248504
30000,4,0.963016,9.630161
40000,4,1.681667,16.816671
50000,4,2.631106,26.311062
60000,4,3.773047,37.730474
70000,4,5.123535,51.235355
80000,4,6.724704,67.247041
90000,4,8.517972,85.179717
100000,4,10.407781,104.077805
1000,8,0.007426,0.074262
2000,8,0.008799,0.087991
3000,8,0.011665,0.116647
4000,8,0.015139,0.151393
5000,8,0.019931,0.199308
6000,8,0.025758,0.257582
7000,8,0.032444,0.324444
8000,8,0.040109,0.401093
9000,8,0.048861,0.488612
10000,8,0.059716,0.597156
20000,8,0.215132,2.151320
30000,8,0.484139,4.841390
40000,8,0.850228,8.502279
50000,8,1.321334,13.213340
60000,8,1.899222,18.992224
70000,8,2.579163,25.791627
80000,8,3.356414,33.564137
90000,8,4.217086,42.170855
100000,8,5.229482,52.294817
1000,16,0.007243,0.072430
2000,16,0.007877,0.078770
3000,16,0.009254,0.092544
4000,16,0.011217,0.112170
5000,16,0.013580,0.135804
6000,16,0.016452,0.164517
7000,16,0.019874,0.198735
8000,16,0.023736,0.237362
9000,16,0.028216,0.282161
10000,16,0.033467,0.334675
20000,16,0.112120,1.121196
30000,16,0.245374,2.453735
40000,16,0.428456,4.284556
50000,16,0.663611,6.636113
60000,16,0.943328,9.433280
70000,16,1.293216,12.932160
80000,16,1.686681,16.866807
90000,16,2.134054,21.340543
100000,16,2.630577,26.305772
1000,32,0.007193,0.071928
2000,32,0.007935,0.079355
3000,32,0.009178,0.091779
4000,32,0.010913,0.109125
5000,32,0.013345,0.133447
6000,32,0.016102,0.161022
7000,32,0.019353,0.193528
8000,32,0.023140,0.231400
9000,32,0.027588,0.275884
10000,32,0.032407,0.324068
20000,32,0.108469,1.084690
30000,32,0.235541,2.355408
40000,32,0.414090,4.140895
50000,32,0.641308,6.413077
60000,32,0.920206,9.202058
70000,32,1.250319,12.503192
80000,32,1.631695,16.316952
90000,32,2.063253,20.632529
100000,32,2.544863,25.448632
