Particles,AvgIterationTime,TotalTime,Method
1000,0.004240,0.042404,Verlet
2000,0.017769,0.177693,Verlet
3000,0.037931,0.379313,Verlet
4000,0.064196,0.641956,Verlet
5000,0.105240,1.052403,Verlet
6000,0.159610,1.596098,Verlet
7000,0.217255,2.172552,Verlet
8000,0.276950,2.769503,Verlet
9000,0.359051,3.590506,Verlet
10000,0.443242,4.432423,Verlet
20000,1.753788,17.537881,Verlet
30000,4.021364,40.213639,Verlet
40000,7.149962,71.499623,Verlet
50000,11.172754,111.727543,Verlet
60000,16.025110,160.251102,Verlet
70000,21.896033,218.960333,Verlet
80000,28.571508,285.715083,Verlet
90000,36.145730,361.457300,Verlet
100000,44.178844,441.788442,Verlet
